dep,arr,dist,freq,pasN,pasV,crgN,cv_id,dep_lat,dep_lon,arr_lat,arr_lon,year
東京,新千歳,894.0,366.0,4477074.0,6655551.0,84507.0,cv_00579,35.551216,139.7762,42.783703,141.68295,2011
新千歳,東京,894.0,366.0,4565031.0,6621062.0,92364.0,cv_00580,42.783703,141.68295,35.551216,139.7762,2011
東京,大阪,514.0,203.0,2600655.0,4145092.0,40455.0,cv_00581,35.551216,139.7762,34.7914,135.4404,2011
大阪,東京,514.0,203.0,2680898.0,4143601.0,27183.0,cv_00582,34.7914,135.4404,35.551216,139.7762,2011
東京,関西,678.0,98.0,618087.0,961853.0,3634.0,cv_00583,35.551216,139.7762,34.431736,135.24341,2011
関西,東京,678.0,104.0,605584.0,965650.0,3591.0,cv_00584,34.431736,135.24341,35.551216,139.7762,2011
東京,福岡,1041.0,322.0,3738684.0,5673582.0,67979.0,cv_00585,35.551216,139.7762,33.58499,130.44843,2011
福岡,東京,1041.0,322.0,3796830.0,5668948.0,76183.0,cv_00586,33.58499,130.44843,35.551216,139.7762,2011
東京,那覇,1687.0,184.0,2619149.0,3828223.0,70742.0,cv_00587,35.551216,139.7762,26.199286,127.64285,2011
那覇,東京,1687.0,189.0,2635122.0,3853304.0,59754.0,cv_00588,26.199286,127.64285,35.551216,139.7762,2011
成田,新千歳,892.0,33.0,144784.0,260235.0,113.0,cv_00589,35.772907,140.3888,42.783703,141.68295,2011
新千歳,成田,892.0,33.0,141666.0,260207.0,22.0,cv_00590,42.783703,141.68295,35.772907,140.3888,2011
成田,大阪,589.0,28.0,221168.0,308614.0,1620.0,cv_00591,35.772907,140.3888,34.7914,135.4404,2011
大阪,成田,589.0,28.0,240664.0,308493.0,865.0,cv_00592,34.7914,135.4404,35.772907,140.3888,2011
成田,関西,752.0,1.0,4064.0,8960.0,8.0,cv_00593,35.772907,140.3888,34.431736,135.24341,2011
関西,成田,752.0,1.0,4734.0,8960.0,1.0,cv_00594,34.431736,135.24341,35.772907,140.3888,2011
成田,福岡,1107.0,35.0,139600.0,256445.0,127.0,cv_00595,35.772907,140.3888,33.58499,130.44843,2011
福岡,成田,1107.0,35.0,153025.0,256679.0,18.0,cv_00596,33.58499,130.44843,35.772907,140.3888,2011
成田,那覇,1887.0,13.0,80045.0,141563.0,112.0,cv_00597,35.772907,140.3888,26.199286,127.64285,2011
那覇,成田,1887.0,13.0,79799.0,142579.0,338.0,cv_00598,26.199286,127.64285,35.772907,140.3888,2011
大阪,新千歳,1161.0,23.0,285168.0,380223.0,5433.0,cv_00599,34.7914,135.4404,42.783703,141.68295,2011
新千歳,大阪,1161.0,23.0,276340.0,378187.0,4792.0,cv_00600,42.783703,141.68295,34.7914,135.4404,2011
大阪,福岡,578.0,89.0,404317.0,639696.0,4935.0,cv_00601,34.7914,135.4404,33.58499,130.44843,2011
福岡,大阪,578.0,89.0,406740.0,639406.0,4400.0,cv_00602,33.58499,130.44843,34.7914,135.4404,2011
大阪,那覇,1304.0,16.0,307206.0,400731.0,7845.0,cv_00603,34.7914,135.4404,26.199286,127.64285,2011
那覇,大阪,1304.0,16.0,292960.0,398737.0,6702.0,cv_00604,26.199286,127.64285,34.7914,135.4404,2011
関西,新千歳,1309.0,60.0,502062.0,726441.0,6072.0,cv_00605,34.431736,135.24341,42.783703,141.68295,2011
新千歳,関西,1309.0,60.0,495659.0,728123.0,6624.0,cv_00606,42.783703,141.68295,34.431736,135.24341,2011
関西,福岡,553.0,26.0,78169.0,134663.0,265.0,cv_00607,34.431736,135.24341,33.58499,130.44843,2011
福岡,関西,553.0,26.0,81080.0,135817.0,39.0,cv_00608,33.58499,130.44843,34.431736,135.24341,2011
関西,那覇,1261.0,67.0,470671.0,691173.0,21801.0,cv_00609,34.431736,135.24341,26.199286,127.64285,2011
那覇,関西,1261.0,67.0,482448.0,702597.0,19465.0,cv_00610,26.199286,127.64285,34.431736,135.24341,2011
福岡,新千歳,1614.0,21.0,209392.0,279833.0,3300.0,cv_00611,33.58499,130.44843,42.783703,141.68295,2011
新千歳,福岡,1614.0,21.0,207569.0,279438.0,2634.0,cv_00612,42.783703,141.68295,33.58499,130.44843,2011
福岡,那覇,1008.0,110.0,713576.0,1105732.0,16245.0,cv_00613,33.58499,130.44843,26.199286,127.64285,2011
那覇,福岡,1008.0,110.0,714929.0,1101402.0,9794.0,cv_00614,26.199286,127.64285,33.58499,130.44843,2011
東京,稚内,1195.0,9.0,48701.0,85325.0,5.0,cv_00615,35.551216,139.7762,45.403435,141.79831,2011
稚内,東京,1195.0,8.0,43410.0,84493.0,153.0,cv_00616,45.403435,141.79831,35.551216,139.7762,2011
東京,釧路,1032.0,34.0,239689.0,369877.0,681.0,cv_00617,35.551216,139.7762,43.042946,144.19371,2011
釧路,東京,1032.0,34.0,245978.0,369566.0,3011.0,cv_00618,43.042946,144.19371,35.551216,139.7762,2011
